times,arima_forecast_mean,ha_arima_forecast_upper95,ha_arima_forecast_lower95,ha_arima_forecast_upper80,ha_arima_forecast_lower_80,mydata.headache.test_start_index.test_end_index.
2014-08-23 03:01:00-07:00,0,2.77483109,-2.77483109,1.814364527,-1.814364527,0
2014-08-23 03:02:00-07:00,0,2.78244381,-2.78244381,1.819342217,-1.819342217,0
2014-08-23 03:03:00-07:00,0,2.790035758,-2.790035758,1.824306325,-1.824306325,0
2014-08-23 03:04:00-07:00,0,2.797607103,-2.797607103,1.829256962,-1.829256962,0
2014-08-23 03:05:00-07:00,0,2.805158013,-2.805158013,1.834194236,-1.834194236,0
2014-08-23 03:06:00-07:00,0,2.812688653,-2.812688653,1.839118257,-1.839118257,0
2014-08-23 03:07:00-07:00,0,2.820199183,-2.820199183,1.844029128,-1.844029128,0
2014-08-23 03:08:00-07:00,0,2.827689765,-2.827689765,1.848926957,-1.848926957,0
2014-08-23 03:09:00-07:00,0,2.835160557,-2.835160557,1.853811845,-1.853811845,0
2014-08-23 03:10:00-07:00,0,2.842611714,-2.842611714,1.858683895,-1.858683895,0
2014-08-23 03:11:00-07:00,0,2.850043392,-2.850043392,1.863543208,-1.863543208,0
2014-08-23 03:12:00-07:00,0,2.857455741,-2.857455741,1.868389882,-1.868389882,0
2014-08-23 03:13:00-07:00,0,2.864848912,-2.864848912,1.873224017,-1.873224017,0
2014-08-23 03:14:00-07:00,0,2.872223052,-2.872223052,1.878045708,-1.878045708,0
2014-08-23 03:15:00-07:00,0,2.879578309,-2.879578309,1.882855052,-1.882855052,0
2014-08-23 03:16:00-07:00,0,2.886914826,-2.886914826,1.887652143,-1.887652143,0
2014-08-23 03:17:00-07:00,0,2.894232746,-2.894232746,1.892437073,-1.892437073,0
2014-08-23 03:18:00-07:00,0,2.90153221,-2.90153221,1.897209936,-1.897209936,0
2014-08-23 03:19:00-07:00,0,2.908813356,-2.908813356,1.901970822,-1.901970822,0
2014-08-23 03:20:00-07:00,0,2.916076322,-2.916076322,1.90671982,-1.90671982,0
2014-08-23 03:21:00-07:00,0,2.923321243,-2.923321243,1.911457019,-1.911457019,0
2014-08-23 03:22:00-07:00,0,2.930548254,-2.930548254,1.916182507,-1.916182507,0
2014-08-23 03:23:00-07:00,0,2.937757485,-2.937757485,1.920896371,-1.920896371,0
2014-08-23 03:24:00-07:00,0,2.944949069,-2.944949069,1.925598694,-1.925598694,0
2014-08-23 03:25:00-07:00,0,2.952123133,-2.952123133,1.930289563,-1.930289563,0
2014-08-23 03:26:00-07:00,0,2.959279806,-2.959279806,1.93496906,-1.93496906,0
2014-08-23 03:27:00-07:00,0,2.966419213,-2.966419213,1.939637267,-1.939637267,0
2014-08-23 03:28:00-07:00,0,2.973541478,-2.973541478,1.944294266,-1.944294266,0
2014-08-23 03:29:00-07:00,0,2.980646725,-2.980646725,1.948940137,-1.948940137,0
2014-08-23 03:30:00-07:00,0,2.987735074,-2.987735074,1.953574959,-1.953574959,0
2014-08-23 03:31:00-07:00,0,2.994806646,-2.994806646,1.958198812,-1.958198812,0
2014-08-23 03:32:00-07:00,0,3.00186156,-3.00186156,1.962811772,-1.962811772,0
2014-08-23 03:33:00-07:00,0,3.008899932,-3.008899932,1.967413916,-1.967413916,0
2014-08-23 03:34:00-07:00,0,3.015921878,-3.015921878,1.97200532,-1.97200532,0
2014-08-23 03:35:00-07:00,0,3.022927513,-3.022927513,1.976586059,-1.976586059,0
2014-08-23 03:36:00-07:00,0,3.029916951,-3.029916951,1.981156206,-1.981156206,0
2014-08-23 03:37:00-07:00,0,3.036890301,-3.036890301,1.985715835,-1.985715835,0
2014-08-23 03:38:00-07:00,0,3.043847677,-3.043847677,1.990265018,-1.990265018,0
2014-08-23 03:39:00-07:00,0,3.050789186,-3.050789186,1.994803827,-1.994803827,0
2014-08-23 03:40:00-07:00,0,3.057714936,-3.057714936,1.999332332,-1.999332332,0
2014-08-23 03:41:00-07:00,0,3.064625035,-3.064625035,2.003850603,-2.003850603,0
2014-08-23 03:42:00-07:00,0,3.071519588,-3.071519588,2.008358709,-2.008358709,0
2014-08-23 03:43:00-07:00,0,3.0783987,-3.0783987,2.012856718,-2.012856718,0
2014-08-23 03:44:00-07:00,0,3.085262474,-3.085262474,2.017344699,-2.017344699,0
2014-08-23 03:45:00-07:00,0,3.092111012,-3.092111012,2.021822717,-2.021822717,0
